listing_id,date,num_reviews,reviewers
1042806,2026-02-01,1,697689608
1042806,2025-09-01,5,"401815758,151108475,26483676,124376910,403679385"
1042806,2025-05-01,3,"677664040,150906937,277000594"
1042806,2026-01-01,1,720336649
1042806,2025-12-01,1,151108475
1042806,2025-08-01,3,"478268112,693599325,697721225"
1042806,2025-04-01,2,"33754403,657001532"
54508,2026-03-01,1,19692715
54508,2025-11-01,4,"475338099,11730733,3860718,139129889"
54508,2025-07-01,2,"199931310,453099371"
54508,2025-10-01,5,"5581788,9451692,245173076,49059568,193198578"
54508,2025-06-01,4,"133325408,4979241,262869686,25318138"
54508,2025-09-01,1,32189194
54508,2025-05-01,2,"678725700,171468056"
54508,2025-12-01,1,65907547
54508,2025-08-01,2,"142321312,221562797"
54508,2025-04-01,1,554330308
1313711,2025-11-01,4,"50456644,652811745,142544612,39372869"
1313711,2025-06-01,2,"281738830,691999571"
1313711,2025-10-01,4,"651322913,324691563,10505582,352082043"
1313711,2026-02-01,2,"37324668,150008279"
1313711,2025-05-01,2,"192251788,47851451"
1313711,2025-09-01,3,"163318159,131859631,293193432"
1313711,2026-01-01,1,128716001
1313711,2025-04-01,1,68408614
1313711,2025-08-01,3,"132641231,709381372,21893419"
1313711,2025-12-01,1,415482186
704838,2025-09-01,1,2197706
704838,2025-05-01,1,402696389
1010785,2025-05-01,1,6962750
45936,2025-07-01,2,"157086710,241909969"
45936,2025-12-01,1,142848087
45936,2025-04-01,1,71331092
305245,2025-09-01,1,579779340
305245,2025-11-01,1,307071014
852632,2025-08-01,1,35497261
249704,2025-09-01,1,9989312
249704,2025-08-01,1,284702073
249704,2025-05-01,1,584266911
476983,2026-03-01,1,35637052
476983,2025-11-01,1,60381395
476983,2025-10-01,1,35637052
476983,2025-05-01,1,35637052
476983,2025-08-01,1,455962665
67299,2025-11-01,1,66764158
67299,2025-07-01,1,349829992
67299,2025-05-01,2,"217934395,362011792"
67299,2025-10-01,1,95121510
67299,2025-08-01,1,299072802
783202,2025-11-01,5,"2530121,163482803,373873510,120780558,185925541"
783202,2025-07-01,1,100781334
783202,2026-02-01,1,22345199
783202,2025-10-01,6,"655858495,114867297,5546350,24918656,63931644,61855150"
783202,2025-06-01,2,"51698547,2389167"
783202,2026-01-01,3,"8034420,100886446,54506129"
783202,2025-09-01,3,"117522790,81422075,167608754"
783202,2025-05-01,2,"19258022,32159373"
783202,2025-12-01,2,"380589693,79892238"
